1	"Hai avuto proprio un colpo di culo a vincere quella lotteria!"
2	"Mi sono fatto un culo così per finire questo progetto in tempo."
3	"Non aspettarti di risolvere tutto col culo: ci vuole anche impegno."
4	"Non girare il culo agli amici quando hai successo!"
5	"Ci metterò il culo per raggiungere i miei obiettivi."
6	"Se continui a fare così, la gente finirà per mandarti a fanculo senza pensarci due volte."
7	"Mi sono seduto tutto il giorno e ora ho il culo a pezzi!"
8	"Ho avuto una giornata pesante e sono pronto a mandare tutti a fanculo."
9	"Ho lavorato sodo, ma anche un po' di culo non guasta mai."
10	"Non puoi aspettarti che tutto cada dal cielo... serve testa e culo."
