Phrase	Score	Contexts
text	0.04	text
"Hai visto che bastardo mi ha superato in fila senza neanche chiedere scusa?"	1.00	"Hai visto che bastardo mi ha superato in fila senza neanche chiedere scusa?"
"Quel bastardo del mio capo mi ha fatto lavorare tutto il weekend."	0.83	"Quel bastardo del mio capo mi ha fatto lavorare tutto il weekend."
"Ah, che giornata! Ma sono riuscito a risolvere tutto come un vero bastardo fortunato."	0.00	"Ah, che giornata! Ma sono riuscito a risolvere tutto come un vero bastardo fortunato."
"Bastardo, hai davvero superato le aspettative con quel progetto, complimenti!"	0.00	"Bastardo, hai davvero superato le aspettative con quel progetto, complimenti!"
"Non credevo fosse così bastardo da mentire sulla sua posizione per ottenere un vantaggio."	0.80	"Non credevo fosse così bastardo da mentire sulla sua posizione per ottenere un vantaggio."
"Mi ha fatto uno scherzo davvero bastardo, ma devo ammettere che era divertente."	0.10	"Mi ha fatto uno scherzo davvero bastardo, ma devo ammettere che era divertente."
"Non ti arrabbiare, era solo un commento da bastardo fatto per ridere."	0.00	"Non ti arrabbiare, era solo un commento da bastardo fatto per ridere."
"Quel bastardo del mio vicino fa rumore ogni notte, non mi lascia dormire."	0.83	"Quel bastardo del mio vicino fa rumore ogni notte, non mi lascia dormire."
"Sei un bastardo geniale! Non pensavo che ce l'avresti fatta così velocemente."	0.00	"Sei un bastardo geniale! Non pensavo che ce l'avresti fatta così velocemente."
"Non mi sarei mai aspettato che mi tradisse, che bastardo!"	1.00	"Non mi sarei mai aspettato che mi tradisse, che bastardo!"
"È stato un vero bastardo a lasciarmi proprio quando avevo più bisogno di lui."	1.00	"È stato un vero bastardo a lasciarmi proprio quando avevo più bisogno di lui."
"Non posso credere che abbia vinto ancora, che bastardo fortunato!"	0.00	"Non posso credere che abbia vinto ancora, che bastardo fortunato!"
"Mi ha rubato l'idea e se ne è preso il merito, che bastardo senza scrupoli."	0.64	"Mi ha rubato l'idea e se ne è preso il merito, che bastardo senza scrupoli."
"Quel bastardo ha fatto una battuta così cattiva che mi sono sentito a disagio."	0.83	"Quel bastardo ha fatto una battuta così cattiva che mi sono sentito a disagio."
"Sei un bastardo incredibile, ma devo dire che hai fatto un ottimo lavoro."	0.00	"Sei un bastardo incredibile, ma devo dire che hai fatto un ottimo lavoro."
"Mi ha lasciato con tutte le spese, che bastardo irresponsabile."	0.80	"Mi ha lasciato con tutte le spese, che bastardo irresponsabile."
"Quel bastardo ha preso tutti i crediti per il progetto a cui abbiamo lavorato insieme."	1.00	"Quel bastardo ha preso tutti i crediti per il progetto a cui abbiamo lavorato insieme."
"Sei proprio un bastardo a farci preoccupare così, ma sono felice che stai bene."	0.00	"Sei proprio un bastardo a farci preoccupare così, ma sono felice che stai bene."
