id	text
1	"Hai visto che bastardo mi ha superato in fila senza neanche chiedere scusa?"
2	"Quel bastardo del mio capo mi ha fatto lavorare tutto il weekend."
3	"Ah, che giornata! Ma sono riuscito a risolvere tutto come un vero bastardo fortunato."
4	"Bastardo, hai davvero superato le aspettative con quel progetto, complimenti!"
5	"Non credevo fosse così bastardo da mentire sulla sua posizione per ottenere un vantaggio."
6	"Mi ha fatto uno scherzo davvero bastardo, ma devo ammettere che era divertente."
7	"Non ti arrabbiare, era solo un commento da bastardo fatto per ridere."
8	"Quel bastardo del mio vicino fa rumore ogni notte, non mi lascia dormire."
9	"Sei un bastardo geniale! Non pensavo che ce l'avresti fatta così velocemente."
10	"Non mi sarei mai aspettato che mi tradisse, che bastardo!"
11	"È stato un vero bastardo a lasciarmi proprio quando avevo più bisogno di lui."
12	"Non posso credere che abbia vinto ancora, che bastardo fortunato!"
13	"Mi ha rubato l'idea e se ne è preso il merito, che bastardo senza scrupoli."
14	"Quel bastardo ha fatto una battuta così cattiva che mi sono sentito a disagio."
15	"Sei un bastardo incredibile, ma devo dire che hai fatto un ottimo lavoro."
16	"Mi ha lasciato con tutte le spese, che bastardo irresponsabile."
17	"Quel bastardo ha preso tutti i crediti per il progetto a cui abbiamo lavorato insieme."
18	"Sei proprio un bastardo a farci preoccupare così, ma sono felice che stai bene."
19	"Mi ha fatto una sorpresa davvero da bastardo, ma è stato divertente alla fine."
20	"Non avrei mai pensato che potesse essere così bastardo da mentire a tutti noi."
